date,action,confidence,veto,target,return
2018-02-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-02-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-02-26 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_accumulating'],0,0.0
2018-02-27 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_accumulating']",0,0.0
2018-02-28 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_accumulating']",0,0.0
2018-03-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-12 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-14 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-15 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-18 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_accumulating'],1,0.0
2018-03-19 00:00:00+00:00,NO_TRADE,0.17059451860745883,Below 0.50,1,0.0
2018-03-20 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],0,0.0
2018-03-21 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-03-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-23 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],0,0.0
2018-03-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-03-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-03-31 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-04-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-04-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-04-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
