deposit_tx_count,net_flow_ma7,non_exchange_ratio,std_whale_tx_size_eth,deposit_withdrawal_ratio,exchange_volume_ratio,withdrawal_tx_count,whale_net_exchange_flow_eth,whale_tx_count,block_date,mega_whale_volume_eth,non_exchange_volume_eth,whale_exchange_withdrawals_eth,whale_volume_eth,mega_whale_tx_count,non_exchange_tx_count,whale_exchange_deposits_eth,mega_whale_ratio,btc_price,eth_price,whale_volume_ratio_delta_1d,net_exchange_flow_ratio,eth_burned_zscore_90d,tx_per_active_delta_1d,smart_contract_ratio_delta_1d,whale_tx_zscore_90d,whale_volume_ratio,whale_exchange_asymmetry,median_gas_delta_7d,tx_per_active_zscore_90d,whale_volume_ratio_delta_3d,exchange_flow_share,median_gas_delta_1d,whale_exchange_flow_ratio,eth_burned_delta_1d,block_fullness_delta_1d,eth_funding_rate_8h,eth_ret_lag1,eth_ret_lag2,eth_ret_lag3,eth_ret_lag7,eth_vol7,eth_vol30,eth_rsi,btc_ret_lag1,btc_ret_lag2,btc_ret_lag3,btc_ret_lag7,btc_vol7,btc_vol30,btc_rsi,eth_btc_ratio,eth_btc_ratio_ma7,eth_btc_corr_30d,vol_ratio
30.0,-39250.8947,0.7525,2679.206719,8.3415,0.2475,8.0,-76204.4888,162.0,2018-08-07 00:00:00+00:00,381789.82,294821.3584,10379.9773,391785.8018,152.0,124.0,86584.4661,0.9745,6996.985755612799,403.264290955572,-0.04167399999999999,-0.017875,0.0,-0.0059,-0.019102,-0.22805534810902967,0.68007,-0.148143,6.1662,-0.2728,-0.0009629999999999361,0.190666,5.3267,-0.023882,,0.027701,6.405e-05,0.0025149487089718326,-0.014522229145508431,0.0055768008573345105,-0.03974823733765379,0.019586876267334775,0.02610556538233387,22.76562950245514,-6.322089092699366e-05,-0.03778548489049016,-0.0185653792787999,-0.0254285647870501,0.01732865151450494,0.027503823123663406,33.7385025973896,0.05763400198893987,0.0563615950994686,0.7514863339268357,0.7502950417074509
28.0,-40793.8878,0.7138,3508.939528,3.6818,0.2862,14.0,-98710.6153,158.0,2018-08-08 00:00:00+00:00,602168.7845,429844.1677,36807.0007,602168.7845,158.0,116.0,135517.6161,1.0,6448.759315203375,366.278025178489,0.004505999999999899,-0.027164,0.0,-0.0074,-0.008263,-0.13270151506408118,0.707121,-0.171672,57.9978,-0.3032,-0.03205400000000003,0.220143,51.6928,-0.032891,,0.015343,6.405e-05,-0.010120860657947846,0.0025149487089718326,-0.014522229145508431,-0.04648604984717422,0.016930012067882787,0.02474183123657964,15.813989620203088,0.0003091190085781215,-6.322089092699366e-05,-0.03778548489049016,-0.045119274065255406,0.019031734754356055,0.027154707272443564,20.532556793719976,0.05679821610258649,0.05664172241842532,0.7499391604856047,0.6842667345840011
13.0,-48362.4682,0.7585,6386.448147,2.2491,0.2415,12.0,-50243.4376,170.0,2018-08-09 00:00:00+00:00,541077.29,410385.6068,40224.1228,541077.29,170.0,145.0,90467.5604,1.0,6396.437966525016,361.3650797918288,0.027051000000000047,-0.017057,0.0,-0.0417,-0.011574,-0.237609942723662,0.701759,-0.131374,57.2391,-0.5247,-0.010117000000000043,0.187486,-0.7001,-0.021687,,-0.011006,6.405e-05,-0.09619947915830711,-0.010120860657947846,0.0025149487089718326,-0.01425365513728007,0.03456419445949692,0.029705738977464646,6.269282732383203,-0.08159169190355266,0.0003091190085781215,-6.322089092699366e-05,0.0004978425877462139,0.029709940304559743,0.031080208544920884,8.546051958537845,0.05649473686495347,0.05681331470824109,0.7472409344222679,1.1635527561094505
16.0,-54926.6376,0.837,5823.225249,5.086,0.163,7.0,-65499.8897,139.0,2018-08-10 00:00:00+00:00,598533.4233,500972.5453,16030.4941,598533.4233,139.0,116.0,81530.3838,1.0,6400.943516999968,356.2078027217701,-0.005361999999999978,-0.012273,0.0,-0.0324,0.023281,0.13257444011909206,0.729439,-0.152441,22.0687,-0.6931,0.02619499999999997,0.152982,-34.2397,-0.0195,,-0.046473,6.405e-05,-0.013503927987934542,-0.09619947915830711,-0.010120860657947846,-0.013668662551059547,0.03458647037163397,0.02772174112540536,5.720688929799863,-0.008146490379350455,-0.08159169190355266,0.0003091190085781215,-0.024848736950645926,0.028726582570564218,0.030550991053165943,8.536234972910819,0.05564926510845384,0.05705785575567213,0.8129968982723123,1.2476298012875346
27.0,-64523.2083,0.7242,3894.17031,4.7587,0.2758,13.0,-86225.6764,159.0,2018-08-11 00:00:00+00:00,478937.5334,346831.5686,22940.1442,478937.5334,159.0,119.0,109165.8206,1.0,6192.723956123594,318.4123158618418,0.027679999999999927,-0.028219,0.0,0.0438,-0.013835,-0.7706208161788481,0.696421,-0.157889,3.9966,-0.4416,0.049368999999999996,0.253632,-19.0977,-0.034626,,-0.066205,6.405e-05,-0.014374472607578103,-0.013503927987934542,-0.09619947915830711,0.0055768008573345105,0.034565996295680954,0.027527026603436283,5.845527471405333,0.0007041363370950681,-0.008146490379350455,-0.08159169190355266,-0.0185653792787999,0.030241383817344255,0.03032088699719583,9.419002865425142,0.05141716603514742,0.0570936274066848,0.8135918059114693,1.2557112249590363
14.0,-61226.3511,0.7479,2622.230768,3.1835,0.2521,9.0,-36682.899,113.0,2018-08-12 00:00:00+00:00,278790.9252,208508.0516,16799.9873,278790.9252,113.0,90.0,53482.8863,1.0,6309.70609229086,321.46850204940336,-0.03301799999999999,-0.012978,0.0,-0.0543,-0.00744,-0.1879017495204579,0.705052,-0.096129,2.0807,-0.7332,-0.010700000000000043,0.202117,-2.0614,-0.01744,,0.002285,6.405e-05,-0.1121671423742217,-0.014374472607578103,-0.013503927987934542,-0.014522229145508431,0.04656137682114246,0.03359320756355662,2.026445633714829,-0.033070356599274424,0.0007041363370950681,-0.008146490379350455,-0.03778548489049016,0.030563240494879705,0.03071760449383991,1.2139263415779737,0.05094825295304492,0.05633142425814867,0.8093527403813912,1.3860354577052738
37.0,-84937.0521,0.6801,8551.050149,3.9758,0.3199,16.0,-180992.3578,211.0,2018-08-13 00:00:00+00:00,945890.7539,643255.0557,60821.6702,945890.7539,211.0,158.0,241814.028,1.0,6347.64267010957,308.70191660707314,0.008631000000000055,-0.049026,0.0,0.0751,0.042231,-1.5005344461764831,0.732395,-0.279414,1.9913,-0.324,0.0032929999999999904,0.237022,1.0707,-0.058146,,0.002633,6.405e-05,0.00955243333279651,-0.1121671423742217,-0.014374472607578103,0.0025149487089718326,0.04929932314018165,0.033679753210644946,4.353491192148496,0.018714049952803544,-0.033070356599274424,0.0007041363370950681,-6.322089092699366e-05,0.033287143427651544,0.030911210118636373,6.70232535827337,0.048632529058499206,0.05531141546864545,0.7682707145768799,1.463767351020848
54.0,-107592.1254,0.674,4674.284073,5.6967,0.326,22.0,-234790.0018,265.0,2018-08-14 00:00:00+00:00,1026869.9084,692098.0385,49990.934,1026869.9084,265.0,189.0,284780.9359,1.0,6063.649412157859,264.0499420738046,0.027343000000000006,-0.044953,0.0,0.0918,0.023479,1.3263139149732865,0.682437,-0.255158,-1.958,0.1746,0.0029560000000000697,0.259387,1.3774,-0.055541,,-0.011044,6.405e-05,-0.04052342689703017,0.00955243333279651,-0.1121671423742217,-0.010120860657947846,0.046677358536565176,0.034119802779580787,4.072871836433606,0.005994413542468899,0.018714049952803544,-0.033070356599274424,0.0003091190085781215,0.03380682355012764,0.03092799905513226,8.715486396883136,0.043546373499822384,0.05393916687308932,0.7733634210171008,1.3680430346596124
27.0,-102123.6154,0.7445,3545.900897,1.899,0.2555,21.0,-60431.0455,192.0,2018-08-15 00:00:00+00:00,762663.1143,567789.9602,67221.0543,762663.1143,192.0,144.0,127652.0998,1.0,6370.156601875992,286.79204396818807,-0.04995800000000006,-0.023112,0.0,-0.0751,-0.031294,2.7257201416786976,0.731313,-0.106573,-53.3665,-0.2408,-0.013983999999999996,0.242223,0.2844,-0.022031,,0.052494,6.405e-05,-0.15623788035147318,-0.04052342689703017,0.00955243333279651,-0.09619947915830711,0.061579609442315206,0.0426529184961997,3.209772536659443,-0.045771678875966934,0.005994413542468899,0.018714049952803544,-0.08159169190355266,0.035049419671235725,0.03195820821527403,8.163462304009883,0.04502119208242521,0.05192664851750111,0.7576418136004385,1.4437373013010082
14.0,-99784.2024,0.761,2991.405301,1.9616,0.239,15.0,-33867.5467,142.0,2018-08-16 00:00:00+00:00,436518.0911,332208.8259,35220.8592,436518.0911,142.0,113.0,69088.4059,1.0,6344.119797514671,287.7907644350317,0.04887600000000003,-0.011954,0.0,0.0408,-0.032156,0.706217050153092,0.705488,-0.097146,-54.7732,-0.0176,0.02626099999999998,0.168576,-2.1068,-0.01368,,0.002047,6.405e-05,0.08261910786693102,-0.15623788035147318,-0.04052342689703017,-0.013503927987934542,0.07894148474506033,0.0450138115180049,17.11459468910502,0.0493122215128551,-0.045771678875966934,0.005994413542468899,-0.008146490379350455,0.03175928878161381,0.03276644002510714,23.213776034461446,0.04536338745491134,0.05024421651462092,0.7379161784971654,1.753716961148354
