decision,up_prob,down_prob,confidence,actual_direction,actual_return
NO_TRADE,0.5173713878473941,0.48262861215260583,0.0,1,0.0456089870798497
NO_TRADE,0.5182696115378002,0.4817303884621999,0.0,1,0.0982400263188538
NO_TRADE,0.5195052300365847,0.4804947699634153,0.0,1,0.0573880165877635
NO_TRADE,0.5220902670333031,0.47790973296669687,0.0,1,0.000284725451113
NO_TRADE,0.500727633579222,0.49927236642077794,0.0,0,-0.0029166887112745
NO_TRADE,0.5021327147907807,0.49786728520921936,0.0,0,-0.0100147857382656
NO_TRADE,0.5162349251287296,0.48376507487127035,0.0,1,0.0026148958594789
NO_TRADE,0.5197757509563111,0.4802242490436888,0.0,1,0.0096338475907362
NO_TRADE,0.5210971532921231,0.47890284670787686,0.0,1,0.0082741073800413
NO_TRADE,0.5261230604377097,0.4738769395622902,0.0,1,0.004520388030314
NO_TRADE,0.5259441692702238,0.4740558307297762,0.0,1,0.0139560293549222
NO_TRADE,0.5153777996850136,0.4846222003149865,0.0,0,-0.0048513802545384
NO_TRADE,0.5211276315113769,0.47887236848862313,0.0,1,0.0043882489887729
NO_TRADE,0.523597226587826,0.4764027734121739,0.0,1,0.0419579186220733
NO_TRADE,0.5254021370815002,0.47459786291849976,0.0,1,0.0299331129180325
NO_TRADE,0.5248269322151496,0.4751730677848504,0.0,1,0.0030832454948878
NO_TRADE,0.5126426091910411,0.48735739080895896,0.0,0,-0.0022891776431044
NO_TRADE,0.5197863838960725,0.4802136161039276,0.0,1,0.0374906161758881
NO_TRADE,0.5196722453601303,0.48032775463986965,0.0,1,0.1069402774597246
NO_TRADE,0.5161360261792819,0.48386397382071816,0.0,1,0.0520642977775239
NO_TRADE,0.5131958964965154,0.4868041035034847,0.0,0,-0.0240281670946859
NO_TRADE,0.5238464813727336,0.47615351862726646,0.0,1,0.0002402934817047
NO_TRADE,0.5081197358146109,0.49188026418538905,0.0,0,-0.008432729827286
NO_TRADE,0.5030115021789396,0.49698849782106036,0.0,0,-0.0282276329497053
NO_TRADE,0.5070686960861234,0.4929313039138766,0.0,0,-0.0028027033813257
NO_TRADE,0.5077364694095771,0.4922635305904229,0.0,0,-0.0222816714562629
NO_TRADE,0.5070913832812215,0.49290861671877845,0.0,0,-0.0397561940132471
NO_TRADE,0.5213480844418127,0.47865191555818726,0.0,1,0.0013191422697957
NO_TRADE,0.517809885713361,0.482190114286639,0.0,1,0.0369197228764596
NO_TRADE,0.5152372529632679,0.48476274703673217,0.0,1,0.0200680857898677
NO_TRADE,0.5094069096737884,0.49059309032621146,0.0,0,-0.0039185885066457
NO_TRADE,0.5225726234484999,0.4774273765515001,0.0,1,0.0291490624911306
NO_TRADE,0.5164030359771596,0.4835969640228404,0.0,1,0.0351171383118342
NO_TRADE,0.5161289139064281,0.4838710860935718,0.0,1,0.0093247867702722
NO_TRADE,0.5055403459927841,0.4944596540072159,0.0,0,-0.0053882194235908
NO_TRADE,0.5054910964622988,0.4945089035377011,0.0,0,-0.0241728861904831
NO_TRADE,0.5110537210094731,0.48894627899052684,0.0,0,-0.0203790261797272
NO_TRADE,0.5195735321460773,0.4804264678539227,0.0,1,0.007215706997686
NO_TRADE,0.5247741738507302,0.4752258261492697,0.0,1,0.0010043868376483
NO_TRADE,0.5220029075801172,0.4779970924198828,0.0,1,0.0200055841003744
NO_TRADE,0.5154732908119671,0.4845267091880329,0.0,1,0.0364611555017618
NO_TRADE,0.5211423986321891,0.4788576013678109,0.0,1,0.0358822457349119
NO_TRADE,0.5173414075186392,0.48265859248136084,0.0,1,0.0552556730381978
NO_TRADE,0.5153858783574393,0.48461412164256074,0.0,1,0.0325602149886447
NO_TRADE,0.517996559268154,0.48200344073184603,0.0,1,0.01703022362946
NO_TRADE,0.5188118168523831,0.48118818314761697,0.0,1,0.0196222892666888
NO_TRADE,0.5146429363520086,0.48535706364799136,0.0,1,0.0395645533609848
NO_TRADE,0.517087662273115,0.4829123377268851,0.0,1,0.0342637351672203
NO_TRADE,0.5129132602069381,0.487086739793062,0.0,0,-0.0048050820175911
NO_TRADE,0.509354240468126,0.4906457595318739,0.0,0,-0.051732804058861
NO_TRADE,0.5061121835166079,0.493887816483392,0.0,0,-0.0603744533044685
NO_TRADE,0.5099147798513187,0.49008522014868133,0.0,0,-0.0195964500738365
NO_TRADE,0.5149551877258683,0.4850448122741316,0.0,1,0.0295648809643541
NO_TRADE,0.515255467034535,0.484744532965465,0.0,1,0.0297448588422298
NO_TRADE,0.5042705242991373,0.4957294757008626,0.0,0,-0.0157804055994962
NO_TRADE,0.5071000034985106,0.49289999650148936,0.0,0,-0.0195856866884399
NO_TRADE,0.5071497465563746,0.49285025344362543,0.0,0,-0.0326900338951411
NO_TRADE,0.5068506735776935,0.4931493264223066,0.0,0,-0.0029259442430147
NO_TRADE,0.5243429554095043,0.47565704459049574,0.0,1,0.017155465830835
NO_TRADE,0.5153025743496108,0.4846974256503893,0.0,1,0.0035951812455391
NO_TRADE,0.5185789478806766,0.4814210521193234,0.0,1,0.0371109909850241
NO_TRADE,0.5152301775344666,0.4847698224655333,0.0,1,0.0320079648924457
NO_TRADE,0.5240665641676591,0.475933435832341,0.0,1,0.0009440019999152
NO_TRADE,0.5076264407429151,0.4923735592570848,0.0,0,-0.007172088624805
NO_TRADE,0.5088435297461862,0.4911564702538138,0.0,0,-0.024300616891602
NO_TRADE,0.5207841000911652,0.4792158999088348,0.0,1,0.0029977054231479
NO_TRADE,0.5263921437284788,0.4736078562715213,0.0,1,0.0630017447021589
NO_TRADE,0.5228525424729105,0.47714745752708954,0.0,1,0.0233512612645923
NO_TRADE,0.5164804101229704,0.48351958987702953,0.0,0,-0.0371473212929684
NO_TRADE,0.512722662046715,0.48727733795328493,0.0,0,-0.0185508439117283
NO_TRADE,0.5190162140798723,0.48098378592012764,0.0,1,0.0022875408294686
NO_TRADE,0.5181268880630197,0.4818731119369803,0.0,1,0.0364776481386361
NO_TRADE,0.5196244913879169,0.4803755086120831,0.0,0,-0.0024225549046496
NO_TRADE,0.5120708005970932,0.48792919940290674,0.0,0,-0.0585150915208165
NO_TRADE,0.5144132810053578,0.4855867189946421,0.0,0,-0.0227372022815469
NO_TRADE,0.5108259443914017,0.48917405560859833,0.0,0,-0.0003209831559369
NO_TRADE,0.513949869003628,0.4860501309963719,0.0,0,-0.0016207884344932
NO_TRADE,0.5115221422829964,0.4884778577170035,0.0,1,0.0040732341316443
NO_TRADE,0.5236239659386365,0.4763760340613635,0.0,1,0.0226960578922989
NO_TRADE,0.5243526757245102,0.4756473242754898,0.0,1,0.0666568886193443
NO_TRADE,0.5191688909418256,0.48083110905817433,0.0,1,0.1292611694817732
NO_TRADE,0.5257143014626,0.4742856985374,0.0,1,0.0789378507849156
NO_TRADE,0.5150978942687033,0.4849021057312968,0.0,0,-0.0234404645908101
NO_TRADE,0.5064577152791182,0.49354228472088185,0.0,0,-0.0257366750639206
NO_TRADE,0.5095730634225345,0.49042693657746556,0.0,0,-0.0121946892399667
NO_TRADE,0.5160287651924591,0.4839712348075409,0.0,1,0.0014966641011998
NO_TRADE,0.5187559512651075,0.48124404873489257,0.0,1,0.0128229681315823
NO_TRADE,0.509987343866298,0.4900126561337021,0.0,0,-0.0148806975062909
