funding_time,funding_rate_8h
2025-12-02 00:00:00.004000+00:00,6.949e-05
2025-12-02 08:00:00+00:00,5.552e-05
2025-12-02 16:00:00+00:00,4.147e-05
2025-12-03 00:00:00+00:00,4.698e-05
2025-12-03 08:00:00+00:00,1.107e-05
2025-12-03 16:00:00.005000+00:00,5.015e-05
2025-12-04 00:00:00.012000+00:00,6.305e-05
2025-12-04 08:00:00+00:00,0.0001
2025-12-04 16:00:00.011000+00:00,9.628e-05
2025-12-05 00:00:00+00:00,2.405e-05
2025-12-05 08:00:00+00:00,9.771e-05
2025-12-05 16:00:00.010000+00:00,4.884e-05
2025-12-06 00:00:00.001000+00:00,4.481e-05
2025-12-06 08:00:00.001000+00:00,4.55e-06
2025-12-06 16:00:00.008000+00:00,3.188e-05
2025-12-07 00:00:00+00:00,3.716e-05
2025-12-07 08:00:00.004000+00:00,-9.74e-06
2025-12-07 16:00:00+00:00,1.448e-05
2025-12-08 00:00:00+00:00,2.807e-05
2025-12-08 08:00:00+00:00,7.24e-05
2025-12-08 16:00:00.001000+00:00,4.139e-05
2025-12-09 00:00:00.001000+00:00,5.283e-05
2025-12-09 08:00:00.001000+00:00,6.214e-05
2025-12-09 16:00:00.007000+00:00,3.873e-05
2025-12-10 00:00:00.007000+00:00,0.0001
2025-12-10 08:00:00.002000+00:00,7.429e-05
2025-12-10 16:00:00.012000+00:00,3.462e-05
2025-12-11 00:00:00.001000+00:00,6.92e-05
2025-12-11 08:00:00+00:00,1.38e-06
2025-12-11 16:00:00+00:00,2.616e-05
2025-12-12 00:00:00.005000+00:00,-2.48e-06
2025-12-12 08:00:00.007000+00:00,3.217e-05
2025-12-12 16:00:00.002000+00:00,-2.36e-06
2025-12-13 00:00:00.001000+00:00,1.07e-06
2025-12-13 08:00:00.006000+00:00,-1.354e-05
2025-12-13 16:00:00+00:00,3.292e-05
2025-12-14 00:00:00+00:00,8.266e-05
2025-12-14 08:00:00.003000+00:00,4.872e-05
2025-12-14 16:00:00.005000+00:00,8.259e-05
2025-12-15 00:00:00+00:00,6.154e-05
2025-12-15 08:00:00+00:00,3.415e-05
2025-12-15 16:00:00+00:00,2.051e-05
2025-12-16 00:00:00.002000+00:00,-6.41e-06
2025-12-16 08:00:00+00:00,2.281e-05
2025-12-16 16:00:00.002000+00:00,-1.87e-05
2025-12-17 00:00:00.004000+00:00,3.52e-06
2025-12-17 08:00:00+00:00,3.718e-05
2025-12-17 16:00:00+00:00,8.6e-07
2025-12-18 00:00:00.005000+00:00,-1.833e-05
2025-12-18 08:00:00.007000+00:00,-3.186e-05
2025-12-18 16:00:00.001000+00:00,5.89e-05
2025-12-19 00:00:00+00:00,5.783e-05
2025-12-19 08:00:00.001000+00:00,7.285e-05
2025-12-19 16:00:00+00:00,9.196e-05
2025-12-20 00:00:00.005000+00:00,1.997e-05
2025-12-20 08:00:00+00:00,1.909e-05
2025-12-20 16:00:00.002000+00:00,9.03e-06
2025-12-21 00:00:00+00:00,1.836e-05
2025-12-21 08:00:00.009000+00:00,4.198e-05
2025-12-21 16:00:00+00:00,3.37e-06
2025-12-22 00:00:00+00:00,-2.332e-05
2025-12-22 08:00:00.005000+00:00,5.76e-06
2025-12-22 16:00:00.009000+00:00,-5.69e-06
2025-12-23 00:00:00+00:00,3.812e-05
2025-12-23 08:00:00+00:00,6.79e-05
2025-12-23 16:00:00.001000+00:00,2.64e-05
2025-12-24 00:00:00.001000+00:00,2.584e-05
2025-12-24 08:00:00.001000+00:00,6.186e-05
2025-12-24 16:00:00+00:00,5.629e-05
2025-12-25 00:00:00+00:00,6.527e-05
2025-12-25 08:00:00.001000+00:00,6.688e-05
2025-12-25 16:00:00.005000+00:00,4.97e-05
2025-12-26 00:00:00.004000+00:00,5.028e-05
2025-12-26 08:00:00.001000+00:00,6.473e-05
2025-12-26 16:00:00.007000+00:00,3.451e-05
2025-12-27 00:00:00+00:00,4.038e-05
2025-12-27 08:00:00+00:00,-5.19e-06
2025-12-27 16:00:00.011000+00:00,8.133e-05
2025-12-28 00:00:00.008000+00:00,5.105e-05
2025-12-28 08:00:00+00:00,7.91e-05
2025-12-28 16:00:00+00:00,4.862e-05
2025-12-29 00:00:00.016000+00:00,9.172e-05
2025-12-29 08:00:00.001000+00:00,8.496e-05
2025-12-29 16:00:00+00:00,1.862e-05
2025-12-30 00:00:00.005000+00:00,-1.536e-05
2025-12-30 08:00:00.001000+00:00,3.92e-05
2025-12-30 16:00:00.003000+00:00,0.0001
2025-12-31 00:00:00.004000+00:00,5.157e-05
2025-12-31 08:00:00.001000+00:00,1.205e-05
2025-12-31 16:00:00.001000+00:00,3.527e-05
2026-01-01 00:00:00.008000+00:00,0.0001
2026-01-01 08:00:00.002000+00:00,8.799e-05
2026-01-01 16:00:00.001000+00:00,-5.6e-06
2026-01-02 00:00:00.006000+00:00,5.053e-05
2026-01-02 08:00:00.007000+00:00,3.09e-05
2026-01-02 16:00:00+00:00,0.0001
2026-01-03 00:00:00.001000+00:00,5.187e-05
2026-01-03 08:00:00+00:00,3.421e-05
2026-01-03 16:00:00+00:00,3.231e-05
2026-01-04 00:00:00+00:00,7.598e-05
2026-01-04 08:00:00+00:00,2.12e-06
2026-01-04 16:00:00.001000+00:00,7.231e-05
2026-01-05 00:00:00+00:00,7.926e-05
2026-01-05 08:00:00+00:00,9.66e-06
2026-01-05 16:00:00+00:00,5.085e-05
