date,regime,action,tier,confidence,veto,position_size,actual_target,strategy_return,market_return
2023-03-30 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.016481074128324908
2023-03-31 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,6.387255449691147e-05
2023-04-01 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.01444011736508309
2023-04-02 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.016494320547243937
2023-04-03 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.05868900812895815
2023-04-04 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.020485219883422195
2023-04-05 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.023767771075779365
2023-04-06 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0076075234845695335
2023-04-07 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.00771791983956004
2023-04-08 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.001466333337532568
2023-04-09 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.03452259223116526
2023-04-10 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.011477125036424535
2023-04-11 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.028487217748436457
2023-04-12 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.10469520339557736
2023-04-13 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.06357440846466328
2023-04-14 00:00:00+00:00,R1,NO_TRADE,,0.16087816533671026,Below beta threshold (0.161 < 0.55),0.0,0,0.0,0.000733397926962651
2023-04-15 00:00:00+00:00,R1,NO_TRADE,,0.13451828366963708,Below beta threshold (0.135 < 0.55),0.0,0,0.0,-0.004915883967301795
2023-04-16 00:00:00+00:00,R1,NO_TRADE,,0.16550984938331947,Below beta threshold (0.166 < 0.55),0.0,0,0.0,-0.003760716459551025
2023-04-17 00:00:00+00:00,R1,NO_TRADE,,0.03089885505937674,Below beta threshold (0.031 < 0.55),0.0,-1,0.0,-0.03211083744898108
2023-04-18 00:00:00+00:00,R1,NO_TRADE,,0.017356047087669677,Below beta threshold (0.017 < 0.55),0.0,-1,0.0,-0.07095603466859429
2023-04-19 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.05792484717166457
2023-04-20 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.04574225225060995
2023-04-21 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.022797408850291242
2023-04-22 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.006978872580761797
2023-04-23 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.01771026417948093
2023-04-24 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.024539865013432815
