block_date,block_fullness_delta_1d,eth_burned_delta_1d,eth_burned_zscore_90d,exchange_flow_share,median_gas_delta_1d,median_gas_delta_7d,net_exchange_flow_ratio,smart_contract_ratio_delta_1d,tx_per_active_delta_1d,tx_per_active_zscore_90d,whale_exchange_asymmetry,whale_exchange_flow_ratio,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,whale_volume_ratio_delta_3d
2023-04-23,-0.001153,412.0585,1.1042,0.341217,5.4399,15.8907,-0.065462,0.005166,0.1495,1.9911,-0.196896,-0.063617,-1.2053,0.840837,0.019757,-0.030004
2023-04-24,-0.000332,275.4413,1.3049,0.260241,1.1842,9.8814,-0.005591,-0.003328,-0.0761,1.439,-0.010199,-0.002465,-0.9053,0.852227,0.01139,0.004087
2023-04-25,-9.4e-05,-595.8378,0.7885,0.30351,-4.5288,-10.9611,-0.094426,0.006475,-0.1443,0.4144,-0.331466,-0.093459,0.9615,0.851996,-0.000231,0.030917
2023-04-26,0.000113,209.6367,0.943,0.316315,0.6828,-33.4776,-0.017072,-0.004045,0.0071,0.4697,-0.052482,-0.015587,1.6785,0.871158,0.019162,0.030321
2023-04-27,0.00082,-375.3427,0.6146,0.339961,-2.1922,-24.6666,-0.072056,-0.023762,-0.0492,0.1164,-0.22034,-0.071101,0.1994,0.883308,0.01215,0.031081
2023-04-28,-0.001052,103.4594,0.6837,0.340454,0.8071,-2.2891,-0.012603,-0.00541,0.0424,0.4267,-0.042298,-0.013589,-0.0062,0.849014,-0.034294,-0.002982
2023-04-29,0.001832,-224.064,0.4807,0.242672,-1.8409,-0.4479,0.014557,0.005013,-0.0253,0.2505,0.074477,0.016355,-0.5694,0.803969,-0.045045,-0.067189
2023-04-30,-0.002496,795.5304,1.1278,0.356931,4.9253,-0.9625,0.022524,0.021721,0.22,1.7915,0.069467,0.023317,-0.1618,0.796838,-0.007131,-0.08647
2023-05-01,-0.001396,2500.773,3.0317,0.656835,28.904,26.7573,-0.139996,0.012159,0.1933,2.9707,-0.216307,-0.139625,0.7608,0.903085,0.106247,0.054071
2023-05-02,6.5e-05,1688.8361,3.9352,0.22009,17.4354,48.7215,-0.03191,-0.006407,-0.0471,2.5298,-0.152895,-0.030595,1.8879,0.819276,-0.083809,0.015307
2023-05-03,5.6e-05,-820.4791,3.1126,0.207736,-10.9034,37.1353,0.014588,0.001384,-0.1733,1.3776,0.100922,0.018365,1.3054,0.798308,-0.020968,0.00147
2023-05-04,0.000451,160.1037,3.016,0.293309,1.9812,41.3086,-0.031995,-0.004816,0.0551,1.7013,-0.114451,-0.031665,1.376,0.846345,0.048037,-0.05674
2023-05-05,-0.00095,6536.5384,5.7111,0.447138,62.7461,103.2477,0.099999,0.003617,-0.0415,1.4077,0.239433,0.101671,2.765,0.8067,-0.039645,-0.012576
2023-05-06,-0.000324,-327.0164,4.738,0.48618,-8.6911,96.3975,0.008669,0.004919,0.2615,2.868,0.022041,0.010295,5.5803,0.827292,0.020593,0.028985
