block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count
2023-02-11 00:00:00+00:00,10,1.3166,0.3313,1.0,47,393801.8932,-34932.1108,0.6687,34,263331.8145,20735.320597,74150.4843,56319.5944,-17830.8899,47,393801.8932,3
2023-02-12 00:00:00+00:00,12,0.9511,0.2455,1.0,48,183757.1692,-40305.8263,0.7545,27,138636.2237,6093.904305,21994.9564,23125.9891,1131.0327,48,183757.1692,9
2023-02-13 00:00:00+00:00,21,0.9522,0.5236,1.0,77,732297.2504,-25795.2529,0.4764,44,348901.5902,15135.454037,187004.1961,196391.464,9387.2679,77,732297.2504,12
2023-02-14 00:00:00+00:00,30,0.907,0.4213,1.0,97,603842.9998,-32279.6329,0.5787,56,349442.21,14666.372444,120994.7471,133406.0426,12411.2956,97,603842.9998,11
2023-02-15 00:00:00+00:00,24,4.422,0.3622,1.0,103,664610.7469,-57805.4437,0.6378,64,423885.6049,13361.193607,196326.8959,44398.2461,-151928.6498,103,664610.7469,15
2023-02-16 00:00:00+00:00,36,1.3686,0.5193,1.0,119,631461.6593,-41211.155,0.4807,68,303519.9497,11322.614859,189489.2326,138452.4771,-51036.7555,119,631461.6593,15
2023-02-17 00:00:00+00:00,22,1.5563,0.4706,1.0,84,275587.8288,-32298.6885,0.5294,41,145887.0116,4431.988569,78962.4688,50738.3483,-28224.1205,84,275587.8288,21
2023-02-18 00:00:00+00:00,15,0.5985,0.3625,1.0,65,305183.1282,-25781.8899,0.6375,38,194563.0606,10604.205466,41416.6838,69203.3838,27786.7,65,305183.1282,12
2023-02-19 00:00:00+00:00,23,11.8738,0.5482,0.9325,57,250554.1535,-43716.1266,0.4518,44,121410.2678,8377.906046,135849.7587,11441.1347,-124408.624,76,268701.1611,9
2023-02-20 00:00:00+00:00,18,1.3559,0.3054,1.0,88,441060.009,-47964.1233,0.6946,64,306376.4617,10500.806173,77516.128,57167.4193,-20348.7086,88,441060.009,6
2023-02-21 00:00:00+00:00,12,1.1228,0.3193,1.0,92,405197.337,-50806.1468,0.6807,75,275799.465,6092.222716,68440.3705,60957.5015,-7482.869,92,405197.337,5
2023-02-22 00:00:00+00:00,22,4.3462,0.2736,1.0,88,732766.527,-47026.4797,0.7264,58,532302.7636,24207.065979,162967.3717,37496.3917,-125470.98,88,732766.527,8
